image_id,generation_job_id,prompt_id,provider,model_name,sample_id,image_path,generation_status,prompt,timestamp,error_message
repair_job_vlm_0001_gpt_image_1_00,repair_job_vlm_0001,repair_vlm_001_job_0001_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0001_gpt_image_1_00.png,success,"A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as bottle cap, not a vague or ambiguous object-like shape.
- Make it clear and easy to judge that the object generated is clearly recognizable as marble, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 3 bottle caps; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the marble has plastic material.",2026-06-01T03:03:47,
repair_job_vlm_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002,repair_vlm_002_job_0002_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0002_gemini_2_5_flash_image_00.png,success,"A realistic image of exactly 6 matte black standard sewing buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that there are exactly 6 standard sewing buttons; do not generate more or fewer, and do not add extra target-like objects.",2026-06-01T03:03:53,
repair_job_vlm_0003_gpt_image_1_00,repair_job_vlm_0003,repair_vlm_003_job_0003_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0003_gpt_image_1_00.png,success,"A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the coin has glossy white material.",2026-06-01T03:04:06,
repair_job_vlm_0004_gemini_2_5_flash_image_00,repair_job_vlm_0004,repair_vlm_004_job_0004_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0004_gemini_2_5_flash_image_00.png,success,"A realistic image of exactly 5 plastic coins and one reflective metallic die on a picnic blanket with many small objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects.",2026-06-01T03:04:11,
repair_job_vlm_0005_gpt_image_1_00,repair_job_vlm_0005,repair_vlm_005_job_0005_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0005_gpt_image_1_00.png,success,"A realistic image of exactly 5 ceramic coins and one black-and-white checkered food container on a picnic blanket with many small objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the coin has ceramic material.",2026-06-01T03:04:21,
repair_job_vlm_0006_gemini_2_5_flash_image_00,repair_job_vlm_0006,repair_vlm_006_job_0006_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0006_gemini_2_5_flash_image_00.png,success,"A clear image of exactly 5 matte black thumbtacks and one white speckled sheet of paper on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 5 thumbtacks; do not generate more or fewer, and do not add extra target-like objects.",2026-06-01T03:04:26,
repair_job_vlm_0007_gpt_image_1_00,repair_job_vlm_0007,repair_vlm_007_job_0007_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0007_gpt_image_1_00.png,success,"A realistic image of exactly 5 plastic small flat washers and one reflective metallic bottle cap on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects.",2026-06-01T03:04:37,
repair_job_vlm_0008_gpt_image_1_00,repair_job_vlm_0008,repair_vlm_008_job_0009_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0008_gpt_image_1_00.png,success,"A realistic image of exactly 6 ceramic coins and one blue-and-white striped tray on a craft table with beads and art supplies.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects.",2026-06-01T03:04:50,
repair_job_vlm_0009_gemini_2_5_flash_image_00,repair_job_vlm_0009,repair_vlm_009_job_0010_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0009_gemini_2_5_flash_image_00.png,success,"A realistic image of exactly 5 transparent glass small flat washers and one ceramic thumbtack on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that the object generated is exactly small flat washer; do not replace it with a different object category.
- Make it clear and easy to judge that the object generated is clearly recognizable as thumbtack, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the thumbtack has ceramic material.",2026-06-01T03:04:55,
repair_job_vlm_0010_gpt_image_1_00,repair_job_vlm_0010,repair_vlm_010_job_0011_gpt_image_1_00,openai,gpt-image-1,0,../data/repaired/vlm_triggered/images/repair_job_vlm_0010_gpt_image_1_00.png,success,"A clear image of exactly 5 reflective metallic small paper clips and one glossy white die on a plain desk with soft shadows.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category.",2026-06-01T03:05:04,
