image_id,prompt_id,prompt_family,scene_context_type,scene_context,composition,num_constraints,human_image_label,vlm_image_label,image_label_agreement,human_failed_constraints,vlm_failed_constraints,human_ambiguous_constraints,vlm_ambiguous_constraints
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_binding,natural,on a craft table with beads and art supplies,single,4,fail,fail,True,attribute_natural_single_006_exist_object_2,attribute_natural_single_006_exist_object_2,attribute_natural_single_006_attr_object_2,attribute_natural_single_006_attr_object_2
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_binding,natural,on a dining table with plates and utensils nearby,single,4,ambiguous,fail,False,,attribute_natural_single_012_attr_object_2,attribute_natural_single_012_attr_object_2,
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_binding,natural,on a picnic blanket with many small objects,single,4,pass,fail,False,,attribute_natural_single_018_exist_object_1;attribute_natural_single_018_exist_object_2;attribute_natural_single_018_attr_object_1;attribute_natural_single_018_attr_object_2,,
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_binding,simple,on a clean surface with a few unrelated objects,single,4,pass,ambiguous,False,,,,attribute_simple_single_024_exist_object_1
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_binding,simple,on a plain desk with soft shadows,single,4,pass,fail,False,,attribute_simple_single_030_exist_object_1;attribute_simple_single_030_attr_object_1,,
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality,natural,on a cluttered desk with many office supplies,single,2,pass,ambiguous,False,,,,cardinality_natural_single_001_exist_target
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality,natural,on a dining table with plates and utensils nearby,single,2,fail,fail,True,cardinality_natural_single_011_cardinality,cardinality_natural_single_011_cardinality,,
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality,natural,on a workbench with tools,single,2,fail,ambiguous,False,cardinality_natural_single_021_exist_target;cardinality_natural_single_021_cardinality,,,cardinality_natural_single_021_exist_target
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality,simple,on a lightly cluttered tabletop,single,2,pass,pass,True,,,,
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality,simple,on a plain desk with soft shadows,single,2,ambiguous,ambiguous,True,,,cardinality_simple_single_030_exist_target,cardinality_simple_single_030_exist_target
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_layout,natural,on a cluttered desk with many office supplies,single,3,pass,pass,True,,,,
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_layout,natural,on a craft table with beads and art supplies,single,3,pass,pass,True,,,,
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_layout,natural,on a craft table with beads and art supplies,single,3,pass,pass,True,,,,
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_layout,natural,on a dining table with plates and utensils nearby,single,3,pass,pass,True,,,,
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_layout,natural,on a picnic blanket with many small objects,single,3,pass,pass,True,,,,
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_layout,natural,on a shelf full of books and decorations,single,3,pass,fail,False,,spatial_natural_single_015_exist_object_1,,
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_layout,simple,on a clean surface with a few unrelated objects,single,3,pass,pass,True,,,,
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_layout,simple,on a clean surface with a few unrelated objects,single,3,pass,pass,True,,,,
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_layout,simple,on a lightly cluttered tabletop,single,3,pass,pass,True,,,,
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_layout,simple,on a plain desk with soft shadows,single,3,pass,pass,True,,,,
