image_id,prompt_id,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_1,object_existence,pass,Mock VLM agrees: cup is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: cup is clearly visible.""}"
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_2,object_existence,pass,Mock VLM agrees: book is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: book is clearly visible.""}"
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_spatial,spatial_relation,pass,Mock VLM agrees: cup is clearly to the left of book.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: cup is clearly to the left of book.""}"
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_1,object_existence,pass,Mock VLM agrees: apple is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: apple is clearly visible.""}"
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_2,object_existence,pass,Mock VLM agrees: box is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: box is clearly visible.""}"
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_spatial,spatial_relation,pass,The apple appears to be on the requested side.,success,"{""label"": ""pass"", ""reason"": ""The apple appears to be on the requested side.""}"
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_1,object_existence,pass,Mock VLM agrees: ball is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: ball is clearly visible.""}"
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_2,object_existence,pass,Mock VLM agrees: toy car is clearly visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: toy car is clearly visible.""}"
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_spatial,spatial_relation,pass,Mock VLM agrees: ball is above toy car.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: ball is above toy car.""}"
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_exist_target,object_existence,pass,Mock VLM agrees: cups are visible.,success,"{""label"": ""pass"", ""reason"": ""Mock VLM agrees: cups are visible.""}"
