image_id,prompt_id,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_1,object_existence,pass,A safety pin is clearly visible near the bottom right of the image.,success,"{ ""label"": ""pass"", ""reason"": ""A safety pin is clearly visible near the bottom right of the image."" }"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_2,object_existence,pass,A small coin is clearly visible near the lower left of the image.,success,"{ ""label"": ""pass"", ""reason"": ""A small coin is clearly visible near the lower left of the image."" }"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_spatial,spatial_relation,pass,The safety pin is clearly to the right of the tiny coin.,success,"{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly to the right of the tiny coin."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_1,object_existence,pass,A beige binder clip is clearly visible in the foreground.,success,"{ ""label"": ""pass"", ""reason"": ""A beige binder clip is clearly visible in the foreground."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_2,object_existence,pass,The small washer is clearly visible near the lower right of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The small washer is clearly visible near the lower right of the image."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_spatial,spatial_relation,pass,The beige binder clip is clearly to the left of the small washer.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly to the left of the small washer."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_1,object_existence,pass,A rubber band is clearly visible near the bottom center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""A rubber band is clearly visible near the bottom center of the image."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_2,object_existence,pass,An orange bottle cap is clearly visible near the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""An orange bottle cap is clearly visible near the center of the image."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_spatial,spatial_relation,pass,The rubber band is clearly below the bottle cap in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly below the bottle cap in the image."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_1,object_existence,pass,The marble is clearly visible in the foreground.,success,"{ ""label"": ""pass"", ""reason"": ""The marble is clearly visible in the foreground."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_2,object_existence,pass,A safety pin is clearly visible on the table.,success,"{ ""label"": ""pass"", ""reason"": ""A safety pin is clearly visible on the table."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_spatial,spatial_relation,pass,The marble is clearly above the safety pin in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The marble is clearly above the safety pin in the image."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_1,object_existence,pass,The coin is clearly visible in the lower-right area of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The coin is clearly visible in the lower-right area of the image."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_2,object_existence,pass,A thumbtack is clearly visible near the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""A thumbtack is clearly visible near the center of the image."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_spatial,spatial_relation,pass,The tiny coin is clearly to the right of the thumbtack in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The tiny coin is clearly to the right of the thumbtack in the image."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_1,object_existence,pass,The small washer is clearly visible on the shelf.,success,"{ ""label"": ""pass"", ""reason"": ""The small washer is clearly visible on the shelf."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_2,object_existence,pass,A metallic paper clip is clearly visible on the desk.,success,"{ ""label"": ""pass"", ""reason"": ""A metallic paper clip is clearly visible on the desk."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_spatial,spatial_relation,pass,The washer is clearly below the paper clip in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The washer is clearly below the paper clip in the image."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_1,object_existence,pass,A beige binder clip is clearly visible near the lower right.,success,"{ ""label"": ""pass"", ""reason"": ""A beige binder clip is clearly visible near the lower right."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_2,object_existence,pass,A thumbtack is clearly visible near the upper left.,success,"{ ""label"": ""pass"", ""reason"": ""A thumbtack is clearly visible near the upper left."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_spatial,spatial_relation,pass,The beige binder clip is clearly in the lower-right area relative to the thumbtack.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly in the lower-right area relative to the thumbtack."" }"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_1,object_existence,pass,A transparent button is clearly visible near the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""A transparent button is clearly visible near the center of the image."" }"
