image_id,prompt_id,provider,model_name,image_path,prompt,constraint_id,constraint_type,check_text,human_label,human_notes
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_identity_object_1,object_identity,The object in object_1 should be identifiable as a bottle cap.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_identity_object_2,object_identity,The object in object_2 should be identifiable as a marble.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_cardinality,cardinality,The dominant generated object group corresponding to the requested bottle cap slot should contain exactly 3 visible instances.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_attr_presence_object_1,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_attr_presence_object_2,attribute_presence,The visual attribute 'plastic' should be clearly present in the image.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_attr_binding_object_1,attribute_binding,The bottle cap in object_1 should have the 'ceramic' visual attribute.,,
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality_001_attr_binding_object_2,attribute_binding,The marble in object_2 should have the 'plastic' visual attribute.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_identity_object_1,object_identity,The object in object_1 should be identifiable as a button.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_identity_object_2,object_identity,The object in object_2 should be identifiable as a small box.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_cardinality,cardinality,The dominant generated object group corresponding to the requested button slot should contain exactly 6 visible instances.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_attr_presence_object_1,attribute_presence,The visual attribute 'matte black' should be clearly present in the image.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_attr_presence_object_2,attribute_presence,The visual attribute 'blue-and-white striped' should be clearly present in the image.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_attr_binding_object_1,attribute_binding,The button in object_1 should have the 'matte black' visual attribute.,,
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,A realistic image of exactly 6 matte black buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_026_attr_binding_object_2,attribute_binding,The small box in object_2 should have the 'blue-and-white striped' visual attribute.,,
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0003_gpt_image_1_00.png,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_025_identity_object_1,object_identity,The object in object_1 should be identifiable as a coin.,,
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0003_gpt_image_1_00.png,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_025_identity_object_2,object_identity,The object in object_2 should be identifiable as a napkin.,,
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0003_gpt_image_1_00.png,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_025_cardinality,cardinality,The dominant generated object group corresponding to the requested coin slot should contain exactly 6 visible instances.,,
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0003_gpt_image_1_00.png,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality_025_attr_presence_object_1,attribute_presence,The visual attribute 'glossy white' should be clearly present in the image.,,
