generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
job_0001,combined_attribute_cardinality_001,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0002,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0003,combined_attribute_cardinality_025,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0004,combined_attribute_cardinality_019,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0005,combined_attribute_cardinality_013,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0006,combined_attribute_cardinality_034,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0007,combined_attribute_cardinality_020,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0008,combined_attribute_cardinality_002,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0009,combined_attribute_cardinality_024,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0010,combined_attribute_cardinality_023,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0011,combined_attribute_cardinality_036,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0012,combined_attribute_cardinality_012,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0013,combined_attribute_cardinality_033,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0014,combined_attribute_cardinality_017,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0015,combined_attribute_cardinality_029,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0016,combined_attribute_cardinality_014,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0017,combined_attribute_cardinality_016,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0018,combined_attribute_cardinality_031,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0019,combined_attribute_cardinality_022,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0020,combined_attribute_cardinality_006,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0021,combined_attribute_cardinality_011,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0022,combined_attribute_cardinality_007,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0023,combined_attribute_cardinality_018,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0024,combined_attribute_cardinality_010,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0025,combined_attribute_cardinality_009,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0026,combined_attribute_cardinality_030,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0027,combined_attribute_cardinality_021,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0028,combined_attribute_cardinality_005,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0029,combined_attribute_cardinality_027,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0030,combined_attribute_cardinality_004,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0031,combined_attribute_cardinality_008,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0032,combined_attribute_cardinality_035,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0033,combined_attribute_cardinality_028,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
