generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
repair_job_vlm_0001,repair_vlm_001_job_0001_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0002,repair_vlm_002_job_0002_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0003,repair_vlm_003_job_0003_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0004,repair_vlm_004_job_0004_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0005,repair_vlm_005_job_0005_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0006,repair_vlm_006_job_0006_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0007,repair_vlm_007_job_0007_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0008,repair_vlm_008_job_0009_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0009,repair_vlm_009_job_0010_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0010,repair_vlm_010_job_0011_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0011,repair_vlm_011_job_0012_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0012,repair_vlm_012_job_0014_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0013,repair_vlm_013_job_0016_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0014,repair_vlm_014_job_0017_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0015,repair_vlm_015_job_0018_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0016,repair_vlm_016_job_0019_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0017,repair_vlm_017_job_0020_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0018,repair_vlm_018_job_0023_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0019,repair_vlm_019_job_0024_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0020,repair_vlm_020_job_0025_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0021,repair_vlm_021_job_0026_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0022,repair_vlm_022_job_0027_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0023,repair_vlm_023_job_0028_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0024,repair_vlm_024_job_0029_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0025,repair_vlm_025_job_0030_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0026,repair_vlm_026_job_0031_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0027,repair_vlm_027_job_0032_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0028,repair_vlm_028_job_0034_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0029,repair_vlm_029_job_0035_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0030,repair_vlm_030_job_0037_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0031,repair_vlm_031_job_0038_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0032,repair_vlm_032_job_0039_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0033,repair_vlm_033_job_0040_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0034,repair_vlm_034_job_0043_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0035,repair_vlm_035_job_0045_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0036,repair_vlm_036_job_0048_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0037,repair_vlm_037_job_0049_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0038,repair_vlm_038_job_0050_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0039,repair_vlm_039_job_0052_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0040,repair_vlm_040_job_0053_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0041,repair_vlm_041_job_0054_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0042,repair_vlm_042_job_0055_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0043,repair_vlm_043_job_0059_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0044,repair_vlm_044_job_0064_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0045,repair_vlm_045_job_0065_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0046,repair_vlm_046_job_0067_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0047,repair_vlm_047_job_0069_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
