image_id,prompt_id,provider,model_name,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_identity_object_1,object_identity,fail,No clearly identifiable bottle cap is present in the image.,success,"{""label"": ""fail"", ""reason"": ""No clearly identifiable bottle cap is present in the image.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_identity_object_2,object_identity,ambiguous,"There are many round objects, but none are clearly identifiable as marbles rather than beads or other items.",success,"{""label"": ""ambiguous"", ""reason"": ""There are many round objects, but none are clearly identifiable as marbles rather than beads or other items.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_cardinality,cardinality,pass,There are no clearly visible bottle caps in the image.,success,"{""label"": ""pass"", ""reason"": ""There are no clearly visible bottle caps in the image.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_attribute_object_1,attribute,pass,The image shows objects that resemble ceramic bottle caps.,success,"{""label"": ""pass"", ""reason"": ""The image shows objects that resemble ceramic bottle caps.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_attribute_object_2,attribute,ambiguous,It is unclear if any of the marbles are made of plastic based on the image alone.,success,"{""label"": ""ambiguous"", ""reason"": ""It is unclear if any of the marbles are made of plastic based on the image alone.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_identity_object_1,object_identity,pass,There are several clearly identifiable standard sewing buttons on the table.,success,"{""label"": ""pass"", ""reason"": ""There are several clearly identifiable standard sewing buttons on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_identity_object_2,object_identity,pass,A clearly identifiable small box with blue and white stripes is present on the table.,success,"{""label"": ""pass"", ""reason"": ""A clearly identifiable small box with blue and white stripes is present on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_cardinality,cardinality,fail,There are only five clearly visible standard sewing buttons.,success,"{""label"": ""fail"", ""reason"": ""There are only five clearly visible standard sewing buttons.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_attribute_object_1,attribute,pass,The image clearly shows matte black standard sewing buttons on the table.,success,"{""label"": ""pass"", ""reason"": ""The image clearly shows matte black standard sewing buttons on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_attribute_object_2,attribute,pass,A small blue-and-white striped box is clearly visible on the table.,success,"{""label"": ""pass"", ""reason"": ""A small blue-and-white striped box is clearly visible on the table.""}"
