image_id,prompt_id,constraint_id,constraint_type,human_label,human_notes
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_1,object_existence,pass,cup is clearly visible
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_2,object_existence,pass,book is clearly visible
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_spatial,spatial_relation,pass,cup is clearly to the left of book
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_1,object_existence,pass,apple is clearly visible
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_2,object_existence,pass,box is clearly visible
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_spatial,spatial_relation,fail,"apple is left of box, not right of box"
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_1,object_existence,pass,ball is clearly visible
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_2,object_existence,pass,toy car is clearly visible
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_spatial,spatial_relation,pass,ball is above toy car
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_exist_target,object_existence,pass,cups are visible
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_cardinality,cardinality,pass,exactly two cups are visible
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_exist_target,object_existence,pass,books are visible
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_cardinality,cardinality,fail,"only two books are visible, expected three"
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_1,object_existence,pass,cup is visible
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_2,object_existence,pass,book is visible
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_1,attribute,pass,cup is red
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_2,attribute,pass,book is blue
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_1,object_existence,pass,cup is visible
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_2,object_existence,pass,book is visible
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_1,attribute,pass,cup is red
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_2,attribute,pass,book is blue
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_spatial,spatial_relation,pass,cup is left of book
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_1,object_existence,pass,cups are visible
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_2,object_existence,pass,book is visible
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_cardinality,cardinality,pass,exactly two cups are visible
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_spatial,spatial_relation,pass,cups are left of the book
