image_id,prompt_id,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_1,object_existence,pass,The safety pin is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly visible."" }
```"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_2,object_existence,pass,The tiny coin is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The tiny coin is clearly visible."" }
```"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_spatial,spatial_relation,pass,The safety pin is clearly to the right of the tiny coin.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly to the right of the tiny coin."" }
```"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_1,object_existence,pass,The beige binder clip is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly visible."" }
```"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_2,object_existence,pass,The small washer is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The small washer is clearly visible."" }
```"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_spatial,spatial_relation,pass,The beige binder clip is clearly to the left of the small washer.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly to the left of the small washer."" }
```"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_1,object_existence,pass,The rubber band is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly visible."" }
```"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_2,object_existence,pass,The bottle cap is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The bottle cap is clearly visible."" }
```"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_spatial,spatial_relation,pass,The rubber band is clearly lower than the bottle cap in the image.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly lower than the bottle cap in the image."" }
```"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_1,object_existence,pass,The marble is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The marble is clearly visible."" }
```"
