image_id,prompt_id,provider,model_name,prompt_family,scene_context_type,composition,num_constraints,human_image_label,vlm_image_label,image_label_agreement,human_failed_constraints,vlm_failed_constraints,human_ambiguous_constraints,vlm_ambiguous_constraints
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_001_cardinality,combined_attribute_cardinality_001_cardinality,combined_attribute_cardinality_001_identity_object_1,combined_attribute_cardinality_001_identity_object_1;combined_attribute_cardinality_001_identity_object_2;combined_attribute_cardinality_001_attribute_object_2
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_026_cardinality,combined_attribute_cardinality_026_cardinality,,
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_025_cardinality,combined_attribute_cardinality_025_cardinality,combined_attribute_cardinality_025_identity_object_1,combined_attribute_cardinality_025_identity_object_1;combined_attribute_cardinality_025_attribute_object_1
job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_019_cardinality,combined_attribute_cardinality_019_cardinality,,combined_attribute_cardinality_019_identity_object_1
job_0005_gpt_image_1_00,combined_attribute_cardinality_013,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_013_cardinality,combined_attribute_cardinality_013_cardinality,,combined_attribute_cardinality_013_identity_object_1;combined_attribute_cardinality_013_attribute_object_1
job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,5,fail,fail,True,combined_attribute_cardinality_034_cardinality,combined_attribute_cardinality_034_cardinality,,
job_0007_gpt_image_1_00,combined_attribute_cardinality_020,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_020_cardinality,combined_attribute_cardinality_020_cardinality,combined_attribute_cardinality_020_attribute_object_1,
job_0008_gemini_2_5_flash_image_00,combined_attribute_cardinality_002,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,pass,pass,True,,,,
job_0009_gpt_image_1_00,combined_attribute_cardinality_024,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_024_identity_object_1;combined_attribute_cardinality_024_cardinality,combined_attribute_cardinality_024_cardinality,,combined_attribute_cardinality_024_identity_object_1
job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,pass,fail,False,,combined_attribute_cardinality_023_identity_object_1;combined_attribute_cardinality_023_cardinality,,combined_attribute_cardinality_023_identity_object_2;combined_attribute_cardinality_023_attribute_object_2
job_0011_gpt_image_1_00,combined_attribute_cardinality_036,openai,gpt-image-1,combined_attribute_cardinality,simple,combined,5,pass,fail,False,,combined_attribute_cardinality_036_identity_object_1,,
job_0012_gemini_2_5_flash_image_00,combined_attribute_cardinality_012,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,pass,ambiguous,False,,,,combined_attribute_cardinality_012_identity_object_1
job_0013_gpt_image_1_00,combined_attribute_cardinality_033,openai,gpt-image-1,combined_attribute_cardinality,simple,combined,5,pass,pass,True,,,,
job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_017_cardinality;combined_attribute_cardinality_017_attribute_object_2,combined_attribute_cardinality_017_cardinality;combined_attribute_cardinality_017_attribute_object_2,,
job_0015_gpt_image_1_00,combined_attribute_cardinality_029,openai,gpt-image-1,combined_attribute_cardinality,simple,combined,5,pass,pass,True,,,,
job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,ambiguous,fail,False,,combined_attribute_cardinality_014_identity_object_1;combined_attribute_cardinality_014_cardinality,combined_attribute_cardinality_014_identity_object_1,
job_0017_gpt_image_1_00,combined_attribute_cardinality_016,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_016_cardinality,combined_attribute_cardinality_016_identity_object_1;combined_attribute_cardinality_016_cardinality,,
job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,5,fail,fail,True,combined_attribute_cardinality_031_cardinality;combined_attribute_cardinality_031_attribute_object_1,combined_attribute_cardinality_031_cardinality;combined_attribute_cardinality_031_attribute_object_1,,
job_0019_gpt_image_1_00,combined_attribute_cardinality_022,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_022_cardinality,combined_attribute_cardinality_022_identity_object_1;combined_attribute_cardinality_022_attribute_object_2,,
job_0020_gemini_2_5_flash_image_00,combined_attribute_cardinality_006,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,pass,fail,False,,combined_attribute_cardinality_006_attribute_object_2,,combined_attribute_cardinality_006_identity_object_2
job_0021_gpt_image_1_00,combined_attribute_cardinality_011,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,pass,pass,True,,,,
job_0022_gemini_2_5_flash_image_00,combined_attribute_cardinality_007,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,fail,pass,False,combined_attribute_cardinality_007_attribute_object_1,,combined_attribute_cardinality_007_attribute_object_2,
job_0023_gpt_image_1_00,combined_attribute_cardinality_018,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_018_cardinality,combined_attribute_cardinality_018_cardinality;combined_attribute_cardinality_018_attribute_object_2,,combined_attribute_cardinality_018_identity_object_1
job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,ambiguous,fail,False,,combined_attribute_cardinality_010_attribute_object_2,combined_attribute_cardinality_010_cardinality;combined_attribute_cardinality_010_attribute_object_2,
job_0025_gpt_image_1_00,combined_attribute_cardinality_009,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_009_cardinality,combined_attribute_cardinality_009_cardinality,,combined_attribute_cardinality_009_attribute_object_1
job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,5,fail,fail,True,combined_attribute_cardinality_030_cardinality,combined_attribute_cardinality_030_cardinality,,
job_0027_gpt_image_1_00,combined_attribute_cardinality_021,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,pass,ambiguous,False,,,,combined_attribute_cardinality_021_identity_object_2;combined_attribute_cardinality_021_attribute_object_2
job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_005_identity_object_1,combined_attribute_cardinality_005_identity_object_1;combined_attribute_cardinality_005_cardinality;combined_attribute_cardinality_005_attribute_object_1,,
job_0029_gpt_image_1_00,combined_attribute_cardinality_027,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_027_cardinality,combined_attribute_cardinality_027_cardinality,,
job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,ambiguous,fail,False,,combined_attribute_cardinality_004_identity_object_1;combined_attribute_cardinality_004_cardinality;combined_attribute_cardinality_004_attribute_object_1,combined_attribute_cardinality_004_identity_object_1;combined_attribute_cardinality_004_identity_object_2,
job_0031_gpt_image_1_00,combined_attribute_cardinality_008,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,fail,fail,True,combined_attribute_cardinality_008_cardinality,combined_attribute_cardinality_008_cardinality,,combined_attribute_cardinality_008_identity_object_1
job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,5,fail,fail,True,combined_attribute_cardinality_035_identity_object_1,combined_attribute_cardinality_035_identity_object_1;combined_attribute_cardinality_035_cardinality;combined_attribute_cardinality_035_attribute_object_1,,
job_0033_gpt_image_1_00,combined_attribute_cardinality_028,openai,gpt-image-1,combined_attribute_cardinality,simple,combined,5,pass,pass,True,,,,
job_0034_gemini_2_5_flash_image_00,combined_attribute_cardinality_003,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,5,pass,fail,False,,combined_attribute_cardinality_003_identity_object_1;combined_attribute_cardinality_003_cardinality,,
job_0035_gpt_image_1_00,combined_attribute_cardinality_015,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,5,pass,fail,False,,combined_attribute_cardinality_015_cardinality,,
job_0036_gemini_2_5_flash_image_00,combined_attribute_cardinality_032,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,5,pass,pass,True,,,,
job_0037_gpt_image_1_00,combined_spatial_attribute_003,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,ambiguous,fail,False,,combined_spatial_attribute_003_identity_object_1;combined_spatial_attribute_003_attribute_object_1;combined_spatial_attribute_003_spatial,combined_spatial_attribute_003_attribute_object_1,
job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_013_attribute_object_2,combined_spatial_attribute_013_attribute_object_2,combined_spatial_attribute_013_identity_object_2,combined_spatial_attribute_013_identity_object_2;combined_spatial_attribute_013_attribute_object_1
job_0039_gpt_image_1_00,combined_spatial_attribute_017,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,ambiguous,fail,False,,combined_spatial_attribute_017_identity_object_1,combined_spatial_attribute_017_identity_object_1,combined_spatial_attribute_017_attribute_object_1;combined_spatial_attribute_017_spatial
