constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,relation,relation_text,target_object,target_count,attribute,attribute_1,attribute_2
spatial_simple_single_001_exist_object_1,spatial_simple_single_001,object_existence,The cup should be clearly visible.,cup,,,,cup,,,,
spatial_simple_single_001_exist_object_2,spatial_simple_single_001,object_existence,The book should be clearly visible.,book,,,,book,,,,
spatial_simple_single_001_spatial,spatial_simple_single_001,spatial_relation,The cup should be to the left of the book in the 2D image.,cup,book,left_of,to the left of,,,,,
spatial_natural_single_002_exist_object_1,spatial_natural_single_002,object_existence,The book should be clearly visible.,book,,,,book,,,,
spatial_natural_single_002_exist_object_2,spatial_natural_single_002,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
spatial_natural_single_002_spatial,spatial_natural_single_002,spatial_relation,The book should be to the right of the apple in the 2D image.,book,apple,right_of,to the right of,,,,,
spatial_simple_single_003_exist_object_1,spatial_simple_single_003,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
spatial_simple_single_003_exist_object_2,spatial_simple_single_003,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
spatial_simple_single_003_spatial,spatial_simple_single_003,spatial_relation,The apple should be above the ball in the 2D image.,apple,ball,above,above,,,,,
spatial_natural_single_004_exist_object_1,spatial_natural_single_004,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
spatial_natural_single_004_exist_object_2,spatial_natural_single_004,object_existence,The box should be clearly visible.,box,,,,box,,,,
spatial_natural_single_004_spatial,spatial_natural_single_004,spatial_relation,The ball should be below the box in the 2D image.,ball,box,below,below,,,,,
spatial_simple_single_005_exist_object_1,spatial_simple_single_005,object_existence,The box should be clearly visible.,box,,,,box,,,,
spatial_simple_single_005_exist_object_2,spatial_simple_single_005,object_existence,The toy car should be clearly visible.,toy car,,,,toy car,,,,
spatial_simple_single_005_spatial,spatial_simple_single_005,spatial_relation,The box should be to the left of the toy car in the 2D image.,box,toy car,left_of,to the left of,,,,,
spatial_natural_single_006_exist_object_1,spatial_natural_single_006,object_existence,The toy car should be clearly visible.,toy car,,,,toy car,,,,
spatial_natural_single_006_exist_object_2,spatial_natural_single_006,object_existence,The cup should be clearly visible.,cup,,,,cup,,,,
spatial_natural_single_006_spatial,spatial_natural_single_006,spatial_relation,The toy car should be to the right of the cup in the 2D image.,toy car,cup,right_of,to the right of,,,,,
spatial_simple_single_007_exist_object_1,spatial_simple_single_007,object_existence,The cup should be clearly visible.,cup,,,,cup,,,,
spatial_simple_single_007_exist_object_2,spatial_simple_single_007,object_existence,The book should be clearly visible.,book,,,,book,,,,
spatial_simple_single_007_spatial,spatial_simple_single_007,spatial_relation,The cup should be above the book in the 2D image.,cup,book,above,above,,,,,
spatial_natural_single_008_exist_object_1,spatial_natural_single_008,object_existence,The book should be clearly visible.,book,,,,book,,,,
spatial_natural_single_008_exist_object_2,spatial_natural_single_008,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
spatial_natural_single_008_spatial,spatial_natural_single_008,spatial_relation,The book should be below the apple in the 2D image.,book,apple,below,below,,,,,
spatial_simple_single_009_exist_object_1,spatial_simple_single_009,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
spatial_simple_single_009_exist_object_2,spatial_simple_single_009,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
spatial_simple_single_009_spatial,spatial_simple_single_009,spatial_relation,The apple should be to the left of the ball in the 2D image.,apple,ball,left_of,to the left of,,,,,
spatial_natural_single_010_exist_object_1,spatial_natural_single_010,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
spatial_natural_single_010_exist_object_2,spatial_natural_single_010,object_existence,The box should be clearly visible.,box,,,,box,,,,
spatial_natural_single_010_spatial,spatial_natural_single_010,spatial_relation,The ball should be to the right of the box in the 2D image.,ball,box,right_of,to the right of,,,,,
combo_attr_spatial_simple_001_exist_object_1,combo_attr_spatial_simple_001,object_existence,The cup should be clearly visible.,cup,,,,cup,,,,
combo_attr_spatial_simple_001_exist_object_2,combo_attr_spatial_simple_001,object_existence,The book should be clearly visible.,book,,,,book,,,,
combo_attr_spatial_simple_001_attr_object_1,combo_attr_spatial_simple_001,attribute,The cup should be red.,cup,,,,cup,,red,red,
combo_attr_spatial_simple_001_attr_object_2,combo_attr_spatial_simple_001,attribute,The book should be blue.,book,,,,book,,blue,blue,
combo_attr_spatial_simple_001_spatial,combo_attr_spatial_simple_001,spatial_relation,The cup should be to the left of the book in the 2D image.,cup,book,left_of,to the left of,,,,,
combo_attr_spatial_natural_002_exist_object_1,combo_attr_spatial_natural_002,object_existence,The book should be clearly visible.,book,,,,book,,,,
combo_attr_spatial_natural_002_exist_object_2,combo_attr_spatial_natural_002,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
combo_attr_spatial_natural_002_attr_object_1,combo_attr_spatial_natural_002,attribute,The book should be blue.,book,,,,book,,blue,blue,
combo_attr_spatial_natural_002_attr_object_2,combo_attr_spatial_natural_002,attribute,The apple should be green.,apple,,,,apple,,green,green,
combo_attr_spatial_natural_002_spatial,combo_attr_spatial_natural_002,spatial_relation,The book should be to the right of the apple in the 2D image.,book,apple,right_of,to the right of,,,,,
combo_attr_spatial_simple_003_exist_object_1,combo_attr_spatial_simple_003,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
combo_attr_spatial_simple_003_exist_object_2,combo_attr_spatial_simple_003,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
combo_attr_spatial_simple_003_attr_object_1,combo_attr_spatial_simple_003,attribute,The apple should be green.,apple,,,,apple,,green,green,
combo_attr_spatial_simple_003_attr_object_2,combo_attr_spatial_simple_003,attribute,The ball should be yellow.,ball,,,,ball,,yellow,yellow,
combo_attr_spatial_simple_003_spatial,combo_attr_spatial_simple_003,spatial_relation,The apple should be above the ball in the 2D image.,apple,ball,above,above,,,,,
combo_attr_spatial_natural_004_exist_object_1,combo_attr_spatial_natural_004,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
combo_attr_spatial_natural_004_exist_object_2,combo_attr_spatial_natural_004,object_existence,The box should be clearly visible.,box,,,,box,,,,
combo_attr_spatial_natural_004_attr_object_1,combo_attr_spatial_natural_004,attribute,The ball should be yellow.,ball,,,,ball,,yellow,yellow,
combo_attr_spatial_natural_004_attr_object_2,combo_attr_spatial_natural_004,attribute,The box should be red.,box,,,,box,,red,red,
combo_attr_spatial_natural_004_spatial,combo_attr_spatial_natural_004,spatial_relation,The ball should be below the box in the 2D image.,ball,box,below,below,,,,,
combo_attr_spatial_simple_005_exist_object_1,combo_attr_spatial_simple_005,object_existence,The box should be clearly visible.,box,,,,box,,,,
combo_attr_spatial_simple_005_exist_object_2,combo_attr_spatial_simple_005,object_existence,The toy car should be clearly visible.,toy car,,,,toy car,,,,
combo_attr_spatial_simple_005_attr_object_1,combo_attr_spatial_simple_005,attribute,The box should be red.,box,,,,box,,red,red,
combo_attr_spatial_simple_005_attr_object_2,combo_attr_spatial_simple_005,attribute,The toy car should be blue.,toy car,,,,toy car,,blue,blue,
combo_attr_spatial_simple_005_spatial,combo_attr_spatial_simple_005,spatial_relation,The box should be to the left of the toy car in the 2D image.,box,toy car,left_of,to the left of,,,,,
combo_card_spatial_simple_001_exist_object_1,combo_card_spatial_simple_001,object_existence,The cup should be clearly visible.,cup,,,,cup,,,,
combo_card_spatial_simple_001_exist_object_2,combo_card_spatial_simple_001,object_existence,The book should be clearly visible.,book,,,,book,,,,
combo_card_spatial_simple_001_cardinality,combo_card_spatial_simple_001,cardinality,There should be exactly 2 clearly visible cups.,,,,,cup,2,,,
combo_card_spatial_simple_001_spatial,combo_card_spatial_simple_001,spatial_relation,The cup should be to the left of the book in the 2D image.,cup,book,left_of,to the left of,,,,,
combo_card_spatial_natural_002_exist_object_1,combo_card_spatial_natural_002,object_existence,The book should be clearly visible.,book,,,,book,,,,
combo_card_spatial_natural_002_exist_object_2,combo_card_spatial_natural_002,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
