prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
single_spatial_001,A realistic image of a thin rubber band inside a food container on a craft table with beads and art supplies.,single_spatial,natural,on a craft table with beads and art supplies,single
single_spatial_002,A realistic image of a thin rubber band inside a food container on a picnic blanket with many small objects.,single_spatial,natural,on a picnic blanket with many small objects,single
single_spatial_003,A clear image of a bottle cap inside a serving bowl on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_spatial_004,A clear image of a die inside a tray on a clean surface with a few unrelated objects.,single_spatial,simple,on a clean surface with a few unrelated objects,single
single_spatial_005,A realistic image of a cutting board to the left of a food container on a cluttered desk with many office supplies.,single_spatial,natural,on a cluttered desk with many office supplies,single
single_spatial_006,A realistic image of a serving bowl to the left of a napkin on a crowded kitchen counter with utensils nearby.,single_spatial,natural,on a crowded kitchen counter with utensils nearby,single
single_spatial_007,A realistic image of a standard safety pin to the left of a plate on a craft table with beads and art supplies.,single_spatial,natural,on a craft table with beads and art supplies,single
single_spatial_008,A realistic image of a thumbtack to the left of a plate on a shelf full of books and decorations.,single_spatial,natural,on a shelf full of books and decorations,single
single_spatial_009,A realistic image of a marble on top of a napkin on a workbench with tools.,single_spatial,natural,on a workbench with tools,single
single_spatial_010,A realistic image of a small flat washer on top of a serving bowl on a workbench with tools.,single_spatial,natural,on a workbench with tools,single
single_spatial_011,A realistic image of a small paper clip on top of a serving bowl on a cluttered desk with many office supplies.,single_spatial,natural,on a cluttered desk with many office supplies,single
single_spatial_012,A realistic image of a standard safety pin on top of a tray on a picnic blanket with many small objects.,single_spatial,natural,on a picnic blanket with many small objects,single
single_spatial_013,A clear image of a coin outside a cup on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_spatial_014,A clear image of a die outside a cup on a lightly cluttered tabletop.,single_spatial,simple,on a lightly cluttered tabletop,single
single_spatial_015,A clear image of a small flat washer outside a tray on a lightly cluttered tabletop.,single_spatial,simple,on a lightly cluttered tabletop,single
single_spatial_016,A clear image of a thumbtack outside a serving bowl on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_spatial_017,A realistic image of a cutting board to the right of a standard safety pin on a workbench with tools.,single_spatial,natural,on a workbench with tools,single
single_spatial_018,A realistic image of a serving bowl to the right of a small paper clip on a picnic blanket with many small objects.,single_spatial,natural,on a picnic blanket with many small objects,single
single_spatial_019,A clear image of a food container to the right of a small paper clip on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_spatial_020,A clear image of a standard sewing button to the right of a small flat washer on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_spatial_021,A realistic image of a cutting board under a standard safety pin on a crowded kitchen counter with utensils nearby.,single_spatial,natural,on a crowded kitchen counter with utensils nearby,single
single_spatial_022,A realistic image of a napkin under a bottle cap on a craft table with beads and art supplies.,single_spatial,natural,on a craft table with beads and art supplies,single
single_spatial_023,A realistic image of a plate under a small paper clip on a cluttered desk with many office supplies.,single_spatial,natural,on a cluttered desk with many office supplies,single
single_spatial_024,A clear image of a cutting board under a small flat washer on a plain desk with soft shadows.,single_spatial,simple,on a plain desk with soft shadows,single
single_attribute_001,A realistic image of a ceramic standard sewing button and a reflective metallic cup on a picnic blanket with many small objects.,single_attribute,natural,on a picnic blanket with many small objects,single
single_attribute_002,A realistic image of a matte black bottle cap and a black-and-white checkered cup on a picnic blanket with many small objects.,single_attribute,natural,on a picnic blanket with many small objects,single
single_attribute_003,A realistic image of a plastic standard safety pin and a ceramic small paper clip on a workbench with tools.,single_attribute,natural,on a workbench with tools,single
single_attribute_004,A realistic image of a reflective metallic small box and a red-and-white striped plate on a crowded kitchen counter with utensils nearby.,single_attribute,natural,on a crowded kitchen counter with utensils nearby,single
single_attribute_005,A realistic image of a reflective metallic standard safety pin and a blue-and-white striped plate on a picnic blanket with many small objects.,single_attribute,natural,on a picnic blanket with many small objects,single
single_attribute_006,A realistic image of a transparent glass tray and a ceramic coin on a cluttered desk with many office supplies.,single_attribute,natural,on a cluttered desk with many office supplies,single
single_attribute_007,A clear image of a ceramic thumbtack and a glossy white tray on a plain desk with soft shadows.,single_attribute,simple,on a plain desk with soft shadows,single
single_attribute_008,A clear image of a ceramic tray and a yellow-and-green polka-dotted cup on a clean surface with a few unrelated objects.,single_attribute,simple,on a clean surface with a few unrelated objects,single
single_attribute_009,A clear image of a glossy white tray and a matte black small box on a clean surface with a few unrelated objects.,single_attribute,simple,on a clean surface with a few unrelated objects,single
single_attribute_010,A clear image of a plastic coin and a matte black small flat washer on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_011,A clear image of a plastic standard sewing button and a red-and-white striped napkin on a plain desk with soft shadows.,single_attribute,simple,on a plain desk with soft shadows,single
single_attribute_012,A clear image of a reflective metallic thin rubber band and a white speckled small box on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_013,A realistic image of a blue-and-white striped plate and a transparent glass thumbtack on a picnic blanket with many small objects.,single_attribute,natural,on a picnic blanket with many small objects,single
single_attribute_014,A realistic image of a blue-and-white striped serving bowl and a transparent glass food container on a craft table with beads and art supplies.,single_attribute,natural,on a craft table with beads and art supplies,single
single_attribute_015,A realistic image of a red-and-white striped food container and a matte black standard sewing button on a craft table with beads and art supplies.,single_attribute,natural,on a craft table with beads and art supplies,single
single_attribute_016,A realistic image of a white speckled food container and a blue-and-white striped serving bowl on a picnic blanket with many small objects.,single_attribute,natural,on a picnic blanket with many small objects,single
single_attribute_017,A realistic image of a yellow-and-green polka-dotted notebook and a white speckled index card on a cluttered desk with many office supplies.,single_attribute,natural,on a cluttered desk with many office supplies,single
single_attribute_018,A clear image of a blue-and-white striped serving bowl and a yellow-and-green polka-dotted cup on a plain desk with soft shadows.,single_attribute,simple,on a plain desk with soft shadows,single
single_attribute_019,A clear image of a multicolored cup and a glossy white coin on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_020,A clear image of a red-and-white striped cutting board and a glossy white thumbtack on a plain desk with soft shadows.,single_attribute,simple,on a plain desk with soft shadows,single
single_attribute_021,A clear image of a white speckled index card and a glossy white coin on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_022,A clear image of a white speckled napkin and a black-and-white checkered sheet of paper on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_023,A clear image of a white speckled tray and a plastic standard sewing button on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_attribute_024,A clear image of a yellow-and-green polka-dotted sheet of paper and a matte black bottle cap on a lightly cluttered tabletop.,single_attribute,simple,on a lightly cluttered tabletop,single
single_cardinality_001,A realistic image of exactly 3 bottle caps on a craft table with beads and art supplies.,single_cardinality,natural,on a craft table with beads and art supplies,single
single_cardinality_002,A realistic image of exactly 3 bottle caps on a shelf full of books and decorations.,single_cardinality,natural,on a shelf full of books and decorations,single
single_cardinality_003,A realistic image of exactly 3 small flat washers on a crowded kitchen counter with utensils nearby.,single_cardinality,natural,on a crowded kitchen counter with utensils nearby,single
single_cardinality_004,A realistic image of exactly 3 standard sewing buttons on a picnic blanket with many small objects.,single_cardinality,natural,on a picnic blanket with many small objects,single
single_cardinality_005,A clear image of exactly 3 coins on a clean surface with a few unrelated objects.,single_cardinality,simple,on a clean surface with a few unrelated objects,single
single_cardinality_006,A clear image of exactly 3 standard sewing buttons on a clean surface with a few unrelated objects.,single_cardinality,simple,on a clean surface with a few unrelated objects,single
single_cardinality_007,A realistic image of exactly 4 small flat washers on a cluttered desk with many office supplies.,single_cardinality,natural,on a cluttered desk with many office supplies,single
single_cardinality_008,A realistic image of exactly 4 small flat washers on a picnic blanket with many small objects.,single_cardinality,natural,on a picnic blanket with many small objects,single
single_cardinality_009,A realistic image of exactly 4 small paper clips on a cluttered desk with many office supplies.,single_cardinality,natural,on a cluttered desk with many office supplies,single
single_cardinality_010,A realistic image of exactly 4 thin rubber bands on a craft table with beads and art supplies.,single_cardinality,natural,on a craft table with beads and art supplies,single
single_cardinality_011,A clear image of exactly 4 standard safety pins on a clean surface with a few unrelated objects.,single_cardinality,simple,on a clean surface with a few unrelated objects,single
