repair_id,prompt_id,prompt,source_image_id,source_prompt_id,source_generation_job_id,source_provider,source_model_name,source_image_path,repair_strategy,trigger_label_source,trigger_labels,num_target_constraints,target_constraint_ids,original_prompt,repaired_prompt
repair_human_001_job_0001_gpt_image_1_00,repair_human_001_job_0001_gpt_image_1_00,"A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as bottle cap, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 3 bottle caps; do not generate more or fewer, and do not add extra target-like objects.",job_0001_gpt_image_1_00,combined_attribute_cardinality_001,job_0001,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0001_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_001_identity_object_1;combined_attribute_cardinality_001_cardinality,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,"A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as bottle cap, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 3 bottle caps; do not generate more or fewer, and do not add extra target-like objects."
repair_human_002_job_0002_gemini_2_5_flash_image_00,repair_human_002_job_0002_gemini_2_5_flash_image_00,"A realistic image of exactly 6 matte black standard sewing buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that there are exactly 6 standard sewing buttons; do not generate more or fewer, and do not add extra target-like objects.",job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,job_0002,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0002_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_026_cardinality,A realistic image of exactly 6 matte black standard sewing buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,"A realistic image of exactly 6 matte black standard sewing buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that there are exactly 6 standard sewing buttons; do not generate more or fewer, and do not add extra target-like objects."
repair_human_003_job_0003_gpt_image_1_00,repair_human_003_job_0003_gpt_image_1_00,"A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects.",job_0003_gpt_image_1_00,combined_attribute_cardinality_025,job_0003,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0003_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_025_identity_object_1;combined_attribute_cardinality_025_cardinality,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,"A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects."
repair_human_004_job_0004_gemini_2_5_flash_image_00,repair_human_004_job_0004_gemini_2_5_flash_image_00,"A realistic image of exactly 5 plastic coins and one reflective metallic die on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects.",job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,job_0004,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0004_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_019_cardinality,A realistic image of exactly 5 plastic coins and one reflective metallic die on a picnic blanket with many small objects.,"A realistic image of exactly 5 plastic coins and one reflective metallic die on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects."
repair_human_005_job_0005_gpt_image_1_00,repair_human_005_job_0005_gpt_image_1_00,"A realistic image of exactly 5 ceramic coins and one black-and-white checkered food container on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects.",job_0005_gpt_image_1_00,combined_attribute_cardinality_013,job_0005,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0005_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_013_cardinality,A realistic image of exactly 5 ceramic coins and one black-and-white checkered food container on a picnic blanket with many small objects.,"A realistic image of exactly 5 ceramic coins and one black-and-white checkered food container on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects."
repair_human_006_job_0006_gemini_2_5_flash_image_00,repair_human_006_job_0006_gemini_2_5_flash_image_00,"A clear image of exactly 5 matte black thumbtacks and one white speckled sheet of paper on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 5 thumbtacks; do not generate more or fewer, and do not add extra target-like objects.",job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,job_0006,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0006_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_034_cardinality,A clear image of exactly 5 matte black thumbtacks and one white speckled sheet of paper on a clean surface with a few unrelated objects.,"A clear image of exactly 5 matte black thumbtacks and one white speckled sheet of paper on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 5 thumbtacks; do not generate more or fewer, and do not add extra target-like objects."
repair_human_007_job_0007_gpt_image_1_00,repair_human_007_job_0007_gpt_image_1_00,"A realistic image of exactly 5 plastic small flat washers and one reflective metallic bottle cap on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the small flat washer has plastic material.",job_0007_gpt_image_1_00,combined_attribute_cardinality_020,job_0007,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0007_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_020_cardinality;combined_attribute_cardinality_020_attribute_object_1,A realistic image of exactly 5 plastic small flat washers and one reflective metallic bottle cap on a craft table with beads and art supplies.,"A realistic image of exactly 5 plastic small flat washers and one reflective metallic bottle cap on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects.
- Make it clear and easy to judge that the small flat washer has plastic material."
repair_human_008_job_0009_gpt_image_1_00,repair_human_008_job_0009_gpt_image_1_00,"A realistic image of exactly 6 ceramic coins and one blue-and-white striped tray on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that the object generated is exactly coin; do not replace it with a different object category.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects.",job_0009_gpt_image_1_00,combined_attribute_cardinality_024,job_0009,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0009_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_024_identity_object_1;combined_attribute_cardinality_024_cardinality,A realistic image of exactly 6 ceramic coins and one blue-and-white striped tray on a craft table with beads and art supplies.,"A realistic image of exactly 6 ceramic coins and one blue-and-white striped tray on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that the object generated is exactly coin; do not replace it with a different object category.
- Make sure that there are exactly 6 coins; do not generate more or fewer, and do not add extra target-like objects."
repair_human_009_job_0014_gemini_2_5_flash_image_00,repair_human_009_job_0014_gemini_2_5_flash_image_00,"A realistic image of exactly 5 glossy white standard sewing buttons and one white speckled notebook on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 5 standard sewing buttons; do not generate more or fewer, and do not add extra target-like objects.
- Make sure that the notebook has white speckled pattern; apply this pattern to the correct object.",job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,job_0014,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0014_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_017_cardinality;combined_attribute_cardinality_017_attribute_object_2,A realistic image of exactly 5 glossy white standard sewing buttons and one white speckled notebook on a cluttered desk with many office supplies.,"A realistic image of exactly 5 glossy white standard sewing buttons and one white speckled notebook on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 5 standard sewing buttons; do not generate more or fewer, and do not add extra target-like objects.
- Make sure that the notebook has white speckled pattern; apply this pattern to the correct object."
repair_human_010_job_0016_gemini_2_5_flash_image_00,repair_human_010_job_0016_gemini_2_5_flash_image_00,"A realistic image of exactly 5 ceramic small paper clips and one reflective metallic cup on a picnic blanket with many small objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape.",job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,job_0016,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0016_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_014_identity_object_1,A realistic image of exactly 5 ceramic small paper clips and one reflective metallic cup on a picnic blanket with many small objects.,"A realistic image of exactly 5 ceramic small paper clips and one reflective metallic cup on a picnic blanket with many small objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape."
