generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
repair_job_human_0001,repair_human_001_job_0001_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0002,repair_human_002_job_0002_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0003,repair_human_003_job_0003_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0004,repair_human_004_job_0004_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0005,repair_human_005_job_0005_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0006,repair_human_006_job_0006_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0007,repair_human_007_job_0007_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0008,repair_human_008_job_0009_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0009,repair_human_009_job_0014_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0010,repair_human_010_job_0016_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0011,repair_human_011_job_0017_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0012,repair_human_012_job_0018_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0013,repair_human_013_job_0019_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0014,repair_human_014_job_0022_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0015,repair_human_015_job_0023_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0016,repair_human_016_job_0024_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0017,repair_human_017_job_0025_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0018,repair_human_018_job_0026_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0019,repair_human_019_job_0028_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0020,repair_human_020_job_0029_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0021,repair_human_021_job_0030_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0022,repair_human_022_job_0031_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0023,repair_human_023_job_0032_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0024,repair_human_024_job_0037_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0025,repair_human_025_job_0038_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0026,repair_human_026_job_0039_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0027,repair_human_027_job_0045_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0028,repair_human_028_job_0046_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0029,repair_human_029_job_0048_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0030,repair_human_030_job_0050_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0031,repair_human_031_job_0051_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0032,repair_human_032_job_0052_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
