repair_id,source_image_id,source_prompt_id,repair_strategy,trigger_label_source,source_provider,source_model_name,prompt_family,scene_context_type,composition,before_image_label,after_image_label,image_fixed,is_unnecessary_repair,unnecessary_repair_caused_regression,num_constraints,num_target_constraints,num_targets_fixed,num_regressions,num_hard_regressions,num_soft_regressions,has_regression,regressed_constraint_ids,hard_regressed_constraint_ids,soft_regressed_constraint_ids
repair_human_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,2,2,0,0,0,False,,,
repair_human_002_job_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,0,0,0,0,False,,,
repair_human_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,2,0,0,0,0,False,,,
repair_human_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_006_job_0006_gemini_2_5_flash_image_00,job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_007_job_0007_gpt_image_1_00,job_0007_gpt_image_1_00,combined_attribute_cardinality_020,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,2,2,0,0,0,False,,,
repair_human_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,2,0,0,0,0,False,,,
repair_human_009_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,2,2,0,0,0,False,,,
repair_human_010_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,ambiguous,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_011_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,0,0,0,0,False,,,
repair_human_012_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,fail,pass,True,False,False,5,2,2,0,0,0,False,,,
repair_human_013_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,0,0,0,0,False,,,
repair_human_014_job_0022_gemini_2_5_flash_image_00,job_0022_gemini_2_5_flash_image_00,combined_attribute_cardinality_007,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,2,1,0,0,0,False,,,
repair_human_015_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,0,0,0,0,False,,,
repair_human_016_job_0024_gemini_2_5_flash_image_00,job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,ambiguous,fail,False,False,False,5,2,1,0,0,0,False,,,
repair_human_017_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_018_job_0026_gemini_2_5_flash_image_00,job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,simple,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
repair_human_019_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,1,1,1,0,True,combined_attribute_cardinality_005_cardinality,combined_attribute_cardinality_005_cardinality,
repair_human_020_job_0029_gpt_image_1_00,job_0029_gpt_image_1_00,combined_attribute_cardinality_027,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,fail,False,False,False,5,1,0,1,1,0,True,combined_attribute_cardinality_027_identity_object_2,combined_attribute_cardinality_027_identity_object_2,
repair_human_021_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,repair_all_failed,human,google,gemini-2.5-flash-image,combined_attribute_cardinality,natural,combined,ambiguous,fail,False,False,False,5,2,1,0,0,0,False,,,
repair_human_022_job_0031_gpt_image_1_00,job_0031_gpt_image_1_00,combined_attribute_cardinality_008,repair_all_failed,human,openai,gpt-image-1,combined_attribute_cardinality,natural,combined,fail,pass,True,False,False,5,1,1,0,0,0,False,,,
