image_id,prompt_id,constraint_id,constraint_type,check_text,human_label,human_notes
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_1,object_existence,The cup should be clearly visible.,,
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_2,object_existence,The book should be clearly visible.,,
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_spatial,spatial_relation,The cup should be to the left of the book in the 2D image.,,
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_1,object_existence,The book should be clearly visible.,,
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_2,object_existence,The apple should be clearly visible.,,
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_spatial,spatial_relation,The book should be to the right of the apple in the 2D image.,,
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_1,object_existence,The apple should be clearly visible.,,
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_2,object_existence,The ball should be clearly visible.,,
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_spatial,spatial_relation,The apple should be above the ball in the 2D image.,,
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_exist_target,object_existence,The cup should be clearly visible.,,
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_cardinality,cardinality,There should be exactly 2 clearly visible cups.,,
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_exist_target,object_existence,The book should be clearly visible.,,
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_cardinality,cardinality,There should be exactly 3 clearly visible books.,,
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_1,object_existence,The cup should be clearly visible.,,
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_2,object_existence,The book should be clearly visible.,,
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_1,attribute,The cup should be red.,,
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_2,attribute,The book should be blue.,,
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_1,object_existence,The cup should be clearly visible.,,
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_2,object_existence,The book should be clearly visible.,,
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_1,attribute,The cup should be red.,,
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_2,attribute,The book should be blue.,,
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_spatial,spatial_relation,The cup should be to the left of the book in the 2D image.,,
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_1,object_existence,The cup should be clearly visible.,,
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_2,object_existence,The book should be clearly visible.,,
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_cardinality,cardinality,There should be exactly 2 clearly visible cups.,,
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_spatial,spatial_relation,The cup should be to the left of the book in the 2D image.,,
