prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
spatial_simple_single_001,A clean front-facing image of a cup to the left of a book on a clean tabletop.,spatial_layout,simple,on a clean tabletop,single
spatial_natural_single_002,A realistic image of a book to the right of a apple in a park.,spatial_layout,natural,in a park,single
spatial_simple_single_003,A clean front-facing image of a apple above a ball on a clean floor.,spatial_layout,simple,on a clean floor,single
spatial_natural_single_004,A realistic image of a ball below a box in a kitchen.,spatial_layout,natural,in a kitchen,single
spatial_simple_single_005,A clean front-facing image of a box to the left of a toy car on a plain white background.,spatial_layout,simple,on a plain white background,single
spatial_natural_single_006,A realistic image of a toy car to the right of a cup in a living room.,spatial_layout,natural,in a living room,single
spatial_simple_single_007,A clean front-facing image of a cup above a book on a clean tabletop.,spatial_layout,simple,on a clean tabletop,single
spatial_natural_single_008,A realistic image of a book below a apple in a park.,spatial_layout,natural,in a park,single
spatial_simple_single_009,A clean front-facing image of a apple to the left of a ball on a clean floor.,spatial_layout,simple,on a clean floor,single
spatial_natural_single_010,A realistic image of a ball to the right of a box in a kitchen.,spatial_layout,natural,in a kitchen,single
spatial_simple_single_011,A clean front-facing image of a box above a toy car on a plain white background.,spatial_layout,simple,on a plain white background,single
spatial_natural_single_012,A realistic image of a toy car below a cup in a living room.,spatial_layout,natural,in a living room,single
spatial_simple_single_013,A clean front-facing image of a cup to the left of a book on a clean tabletop.,spatial_layout,simple,on a clean tabletop,single
spatial_natural_single_014,A realistic image of a book to the right of a apple in a park.,spatial_layout,natural,in a park,single
spatial_simple_single_015,A clean front-facing image of a apple above a ball on a clean floor.,spatial_layout,simple,on a clean floor,single
spatial_natural_single_016,A realistic image of a ball below a box in a kitchen.,spatial_layout,natural,in a kitchen,single
spatial_simple_single_017,A clean front-facing image of a box to the left of a toy car on a plain white background.,spatial_layout,simple,on a plain white background,single
spatial_natural_single_018,A realistic image of a toy car to the right of a cup in a living room.,spatial_layout,natural,in a living room,single
spatial_simple_single_019,A clean front-facing image of a cup above a book on a clean tabletop.,spatial_layout,simple,on a clean tabletop,single
spatial_natural_single_020,A realistic image of a book below a apple in a park.,spatial_layout,natural,in a park,single
cardinality_simple_single_001,A clean front-facing image of exactly 2 cups on a clean tabletop.,cardinality,simple,on a clean tabletop,single
cardinality_natural_single_002,A realistic image of exactly 3 books in a park.,cardinality,natural,in a park,single
cardinality_simple_single_003,A clean front-facing image of exactly 4 apples on a clean floor.,cardinality,simple,on a clean floor,single
cardinality_natural_single_004,A realistic image of exactly 2 balls in a kitchen.,cardinality,natural,in a kitchen,single
