image_id,prompt_id,constraint_id,constraint_type,prompt_family,scene_context_type,scene_context,composition,human_label,vlm_label,human_notes,vlm_reason,parse_status
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_1,object_existence,spatial_layout,simple,on a clean tabletop,single,pass,pass,cup is clearly visible,Mock VLM agrees: cup is clearly visible.,success
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_exist_object_2,object_existence,spatial_layout,simple,on a clean tabletop,single,pass,pass,book is clearly visible,Mock VLM agrees: book is clearly visible.,success
spatial_simple_single_001_mock_model_0,spatial_simple_single_001,spatial_simple_single_001_spatial,spatial_relation,spatial_layout,simple,on a clean tabletop,single,pass,pass,cup is clearly to the left of book,Mock VLM agrees: cup is clearly to the left of book.,success
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_1,object_existence,spatial_layout,natural,in a park,single,pass,pass,apple is clearly visible,Mock VLM agrees: apple is clearly visible.,success
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_exist_object_2,object_existence,spatial_layout,natural,in a park,single,pass,pass,box is clearly visible,Mock VLM agrees: box is clearly visible.,success
spatial_natural_single_002_mock_model_0,spatial_natural_single_002,spatial_natural_single_002_spatial,spatial_relation,spatial_layout,natural,in a park,single,fail,pass,"apple is left of box, not right of box",The apple appears to be on the requested side.,success
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_1,object_existence,spatial_layout,simple,on a clean floor,single,pass,pass,ball is clearly visible,Mock VLM agrees: ball is clearly visible.,success
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_exist_object_2,object_existence,spatial_layout,simple,on a clean floor,single,pass,pass,toy car is clearly visible,Mock VLM agrees: toy car is clearly visible.,success
spatial_simple_single_003_mock_model_0,spatial_simple_single_003,spatial_simple_single_003_spatial,spatial_relation,spatial_layout,simple,on a clean floor,single,pass,pass,ball is above toy car,Mock VLM agrees: ball is above toy car.,success
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_exist_target,object_existence,cardinality,simple,on a clean tabletop,single,pass,pass,cups are visible,Mock VLM agrees: cups are visible.,success
cardinality_simple_single_001_mock_model_0,cardinality_simple_single_001,cardinality_simple_single_001_cardinality,cardinality,cardinality,simple,on a clean tabletop,single,pass,pass,exactly two cups are visible,Mock VLM agrees: exactly two cups are visible.,success
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_exist_target,object_existence,cardinality,natural,in a park,single,pass,pass,books are visible,Mock VLM agrees: books are visible.,success
cardinality_natural_single_002_mock_model_0,cardinality_natural_single_002,cardinality_natural_single_002_cardinality,cardinality,cardinality,natural,in a park,single,fail,fail,"only two books are visible, expected three","Mock VLM agrees: only two books are visible, expected three.",success
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_1,object_existence,attribute_binding,simple,on a clean tabletop,single,pass,pass,cup is visible,Mock VLM agrees: cup is visible.,success
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_exist_object_2,object_existence,attribute_binding,simple,on a clean tabletop,single,pass,pass,book is visible,Mock VLM agrees: book is visible.,success
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_1,attribute,attribute_binding,simple,on a clean tabletop,single,pass,pass,cup is red,Mock VLM agrees: cup is red.,success
attribute_simple_single_001_mock_model_0,attribute_simple_single_001,attribute_simple_single_001_attr_object_2,attribute,attribute_binding,simple,on a clean tabletop,single,pass,fail,book is blue,The book color appears uncertain or not clearly blue.,success
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_1,object_existence,combined_attribute_spatial,simple,on a clean tabletop,combined,pass,pass,cup is visible,Mock VLM agrees: cup is visible.,success
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_exist_object_2,object_existence,combined_attribute_spatial,simple,on a clean tabletop,combined,pass,pass,book is visible,Mock VLM agrees: book is visible.,success
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_1,attribute,combined_attribute_spatial,simple,on a clean tabletop,combined,pass,pass,cup is red,Mock VLM agrees: cup is red.,success
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_attr_object_2,attribute,combined_attribute_spatial,simple,on a clean tabletop,combined,pass,pass,book is blue,Mock VLM agrees: book is blue.,success
combo_attr_spatial_simple_001_mock_model_0,combo_attr_spatial_simple_001,combo_attr_spatial_simple_001_spatial,spatial_relation,combined_attribute_spatial,simple,on a clean tabletop,combined,pass,pass,cup is left of book,Mock VLM agrees: cup is left of book.,success
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_1,object_existence,combined_cardinality_spatial,simple,on a clean tabletop,combined,pass,pass,cups are visible,Mock VLM agrees: cups are visible.,success
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_exist_object_2,object_existence,combined_cardinality_spatial,simple,on a clean tabletop,combined,pass,pass,book is visible,Mock VLM agrees: book is visible.,success
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_cardinality,cardinality,combined_cardinality_spatial,simple,on a clean tabletop,combined,pass,pass,exactly two cups are visible,Mock VLM agrees: exactly two cups are visible.,success
combo_card_spatial_simple_001_mock_model_0,combo_card_spatial_simple_001,combo_card_spatial_simple_001_spatial,spatial_relation,combined_cardinality_spatial,simple,on a clean tabletop,combined,pass,ambiguous,cups are left of the book,"The cups and book are visible, but the spatial relation is not completely certain.",success
