repair_id,source_image_id,source_prompt_id,target_constraint_id,target_constraint_type,before_label,repair_action,target_constraint_text
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable bottle cap?
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable marble?
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 3 clearly visible bottle caps?
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_attribute_object_2,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a plastic marble?
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 6 clearly visible standard sewing buttons?
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 6 clearly visible coins?
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a glossy white coin?
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible coins?
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible coins?
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a ceramic coin?
repair_vlm_006_job_0006_gemini_2_5_flash_image_00,job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,combined_attribute_cardinality_034_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible thumbtacks?
repair_vlm_007_job_0007_gpt_image_1_00,job_0007_gpt_image_1_00,combined_attribute_cardinality_020,combined_attribute_cardinality_020_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible small flat washers?
repair_vlm_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 6 clearly visible coins?
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small flat washer?
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable thumbtack?
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible small flat washers?
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_attribute_object_2,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a ceramic thumbtack?
repair_vlm_010_job_0011_gpt_image_1_00,job_0011_gpt_image_1_00,combined_attribute_cardinality_036,combined_attribute_cardinality_036_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
