image_id,prompt_id,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_1,object_existence,pass,The safety pin is clearly visible on the desk.,success,"{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly visible on the desk."" }"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_2,object_existence,pass,A tiny coin is clearly visible on the desk.,success,"{ ""label"": ""pass"", ""reason"": ""A tiny coin is clearly visible on the desk."" }"
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_spatial,spatial_relation,pass,The safety pin is clearly to the right of the tiny coin in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly to the right of the tiny coin in the image."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_1,object_existence,pass,The beige binder clip is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly visible in the image."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_2,object_existence,pass,A small washer is clearly visible in the foreground.,success,"{ ""label"": ""pass"", ""reason"": ""A small washer is clearly visible in the foreground."" }"
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_spatial,spatial_relation,pass,The beige binder clip is clearly to the left of the small washer.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly to the left of the small washer."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_1,object_existence,pass,The rubber band is clearly visible in the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly visible in the center of the image."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_2,object_existence,pass,The bottle cap is clearly visible in the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The bottle cap is clearly visible in the center of the image."" }"
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_spatial,spatial_relation,pass,The rubber band is clearly lower in the image than the bottle cap.,success,"{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly lower in the image than the bottle cap."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_1,object_existence,pass,The marble is clearly visible on the table.,success,"{ ""label"": ""pass"", ""reason"": ""The marble is clearly visible on the table."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_2,object_existence,pass,The safety pin is clearly visible on the table.,success,"{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly visible on the table."" }"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_spatial,spatial_relation,pass,The marble is clearly higher in the image than the safety pin.,success,"{ ""label"": ""pass"", ""reason"": ""The marble is clearly higher in the image than the safety pin."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_1,object_existence,pass,A tiny coin is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""A tiny coin is clearly visible in the image."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_2,object_existence,pass,The thumbtack is clearly visible in the center of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The thumbtack is clearly visible in the center of the image."" }"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_spatial,spatial_relation,pass,The tiny coin is clearly to the right of the thumbtack in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The tiny coin is clearly to the right of the thumbtack in the image."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_1,object_existence,fail,"Only a large washer is clearly visible, not a small washer.",success,"{ ""label"": ""fail"", ""reason"": ""Only a large washer is clearly visible, not a small washer."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_2,object_existence,pass,The metallic paper clip is clearly visible on the desk.,success,"{ ""label"": ""pass"", ""reason"": ""The metallic paper clip is clearly visible on the desk."" }"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_spatial,spatial_relation,pass,The small washer is clearly lower in the image than the metallic paper clip.,success,"{ ""label"": ""pass"", ""reason"": ""The small washer is clearly lower in the image than the metallic paper clip."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_1,object_existence,pass,The beige binder clip is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly visible in the image."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_2,object_existence,pass,The thumbtack is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The thumbtack is clearly visible in the image."" }"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_spatial,spatial_relation,pass,The beige binder clip is clearly in the lower-right area relative to the thumbtack.,success,"{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly in the lower-right area relative to the thumbtack."" }"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_1,object_existence,pass,The transparent button is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The transparent button is clearly visible in the image."" }"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_2,object_existence,pass,The metallic paper clip is clearly visible at the top of the image.,success,"{ ""label"": ""pass"", ""reason"": ""The metallic paper clip is clearly visible at the top of the image."" }"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_spatial,spatial_relation,pass,The transparent button is clearly lower in the image than the metallic paper clip.,success,"{ ""label"": ""pass"", ""reason"": ""The transparent button is clearly lower in the image than the metallic paper clip."" }"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_1,object_existence,pass,The die is clearly visible in the image.,success,"{ ""label"": ""pass"", ""reason"": ""The die is clearly visible in the image."" }"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_2,object_existence,pass,The sewing needle is clearly visible in front of the die.,success,"{ ""label"": ""pass"", ""reason"": ""The sewing needle is clearly visible in front of the die."" }"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_spatial,spatial_relation,pass,The die is clearly positioned higher in the image than the sewing needle.,success,"{ ""label"": ""pass"", ""reason"": ""The die is clearly positioned higher in the image than the sewing needle."" }"
