repair_id,source_image_id,source_prompt_id,target_constraint_id,target_constraint_type,before_label,after_label,target_fixed
repair_human_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_1,object_identity,ambiguous,pass,True
repair_human_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_cardinality,cardinality,fail,pass,True
repair_human_002_job_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_cardinality,cardinality,fail,fail,False
repair_human_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_identity_object_1,object_identity,ambiguous,ambiguous,False
repair_human_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_cardinality,cardinality,fail,fail,False
repair_human_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_cardinality,cardinality,fail,pass,True
repair_human_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_cardinality,cardinality,fail,pass,True
repair_human_006_job_0006_gemini_2_5_flash_image_00,job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,combined_attribute_cardinality_034_cardinality,cardinality,fail,pass,True
repair_human_007_job_0007_gpt_image_1_00,job_0007_gpt_image_1_00,combined_attribute_cardinality_020,combined_attribute_cardinality_020_cardinality,cardinality,fail,pass,True
repair_human_007_job_0007_gpt_image_1_00,job_0007_gpt_image_1_00,combined_attribute_cardinality_020,combined_attribute_cardinality_020_attribute_object_1,attribute,ambiguous,pass,True
repair_human_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_identity_object_1,object_identity,fail,ambiguous,False
repair_human_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_cardinality,cardinality,fail,fail,False
repair_human_009_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_cardinality,cardinality,fail,pass,True
repair_human_009_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_attribute_object_2,attribute,fail,pass,True
repair_human_010_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,combined_attribute_cardinality_014_identity_object_1,object_identity,ambiguous,pass,True
