image_id,prompt_id,provider,model_name,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_identity_object_1,object_identity,ambiguous,No object is clearly identifiable as a bottle cap among the various round items.,success,"{""label"": ""ambiguous"", ""reason"": ""No object is clearly identifiable as a bottle cap among the various round items.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_identity_object_2,object_identity,ambiguous,"There are many round objects, but none are clearly identifiable as marbles rather than beads or other craft items.",success,"{""label"": ""ambiguous"", ""reason"": ""There are many round objects, but none are clearly identifiable as marbles rather than beads or other craft items.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_cardinality,cardinality,fail,"There are four clearly visible bottle cap-like objects, not three.",success,"{""label"": ""fail"", ""reason"": ""There are four clearly visible bottle cap-like objects, not three.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_attribute_object_1,attribute,pass,The image shows objects that resemble ceramic bottle caps.,success,"{""label"": ""pass"", ""reason"": ""The image shows objects that resemble ceramic bottle caps.""}"
job_0001_gpt_image_1_00,combined_attribute_cardinality_001,openai,gpt-image-1,combined_attribute_cardinality_001_attribute_object_2,attribute,ambiguous,"There are many round objects, but it is unclear if any are specifically plastic marbles.",success,"{""label"": ""ambiguous"", ""reason"": ""There are many round objects, but it is unclear if any are specifically plastic marbles.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_identity_object_1,object_identity,pass,There are several clearly identifiable standard sewing buttons on the table.,success,"{""label"": ""pass"", ""reason"": ""There are several clearly identifiable standard sewing buttons on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_identity_object_2,object_identity,pass,A clearly identifiable small box with blue and white stripes is present on the table.,success,"{""label"": ""pass"", ""reason"": ""A clearly identifiable small box with blue and white stripes is present on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_cardinality,cardinality,fail,There are only five clearly visible standard sewing buttons.,success,"{""label"": ""fail"", ""reason"": ""There are only five clearly visible standard sewing buttons.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_attribute_object_1,attribute,pass,The image clearly shows matte black standard sewing buttons on the table.,success,"{""label"": ""pass"", ""reason"": ""The image clearly shows matte black standard sewing buttons on the table.""}"
job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,google,gemini-2.5-flash-image,combined_attribute_cardinality_026_attribute_object_2,attribute,pass,A small blue-and-white striped box is clearly visible on the table.,success,"{""label"": ""pass"", ""reason"": ""A small blue-and-white striped box is clearly visible on the table.""}"
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,combined_attribute_cardinality_025_identity_object_1,object_identity,ambiguous,The round objects could be coins or tokens but lack identifiable coin features.,success,"{""label"": ""ambiguous"", ""reason"": ""The round objects could be coins or tokens but lack identifiable coin features.""}"
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,combined_attribute_cardinality_025_identity_object_2,object_identity,pass,A clearly identifiable napkin with blue and white stripes is visible.,success,"{""label"": ""pass"", ""reason"": ""A clearly identifiable napkin with blue and white stripes is visible.""}"
job_0003_gpt_image_1_00,combined_attribute_cardinality_025,openai,gpt-image-1,combined_attribute_cardinality_025_cardinality,cardinality,fail,"There are seven visible round objects, not six.",success,"{""label"": ""fail"", ""reason"": ""There are seven visible round objects, not six.""}"
