image_id,prompt_id,constraint_id,constraint_type,check_text,human_label,human_notes
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_1,object_existence,The safety pin should be clearly visible.,pass,safety pin is clearly visible
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_exist_object_2,object_existence,The tiny coin should be clearly visible.,pass,tiny coin is clearly visible
spatial_natural_single_001_gpt-image-1_0,spatial_natural_single_001,spatial_natural_single_001_spatial,spatial_relation,The safety pin should be to the right of the tiny coin in the 2D image.,pass,safety pin is clearly to the right of the tiny coin
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_1,object_existence,The beige binder clip should be clearly visible.,pass,the beige binder clip is clearly visible
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_exist_object_2,object_existence,The small washer should be clearly visible.,pass,the small washer is clearly visible
spatial_natural_single_003_gpt-image-1_0,spatial_natural_single_003,spatial_natural_single_003_spatial,spatial_relation,The beige binder clip should be to the left of the small washer in the 2D image.,pass,the beige binder clip is clearly to the left of the small washer
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_1,object_existence,The rubber band should be clearly visible.,pass,the rubber band is clearly visible
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_exist_object_2,object_existence,The bottle cap should be clearly visible.,pass,the bottle cap is clearly visible
spatial_natural_single_006_gpt-image-1_0,spatial_natural_single_006,spatial_natural_single_006_spatial,spatial_relation,The rubber band should be lower in the image than the bottle cap in the 2D image.,pass,the rubber band is clearly lower than the bottle cap in the 2D image
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_1,object_existence,The marble should be clearly visible.,pass,the marble is clearly visible
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_2,object_existence,The safety pin should be clearly visible.,pass,the safety pin is clearly visible
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_spatial,spatial_relation,The marble should be higher in the image than the safety pin in the 2D image.,pass,the marble is clearly higher than the safety pin in the 2D image.
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_1,object_existence,The tiny coin should be clearly visible.,pass,the tiny coin is clearly visible
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_2,object_existence,The thumbtack should be clearly visible.,pass,the thumbtack is clearly visible
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_spatial,spatial_relation,The tiny coin should be to the right of the thumbtack in the 2D image.,pass,the tiny coin is clearly to the right of the thumbtack in the 2D image
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_1,object_existence,The small washer should be clearly visible.,pass,the small washer is clearly visible
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_2,object_existence,The metallic paper clip should be clearly visible.,pass,the metallic paper clip is clearly visible
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_spatial,spatial_relation,The small washer should be lower in the image than the metallic paper clip in the 2D image.,pass,the small washer is clearly lower than the metallic paper clip in the 2D image
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_1,object_existence,The beige binder clip should be clearly visible.,pass,the beige binder clip is clearly visible
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_2,object_existence,The thumbtack should be clearly visible.,pass,the thumbtack is clearly visible
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_spatial,spatial_relation,The beige binder clip should be in the lower-right area relative to the thumbtack in the 2D image.,pass,the beige binder clip is clearly in the lower-right area relative to the thumbtack in the 2D image
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_1,object_existence,The transparent button should be clearly visible.,pass,the transparent button is clearly visible
