constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,object_1_group,object_2_group,relation,relation_text,target_object,target_object_group,target_count,attribute,attribute_category,attribute_1,attribute_1_category,attribute_2,attribute_2_category,object_slot,attribute_slot
single_spatial_001_identity_object_1,single_spatial_001,object_identity,The object in object_1 should be identifiable as a rubber band.,rubber band,,small_items,,,,rubber band,small_items,,,,,,,,object_1,
single_spatial_001_identity_object_2,single_spatial_001,object_identity,The object in object_2 should be identifiable as a food container.,,food container,,containers,,,food container,containers,,,,,,,,object_2,
single_spatial_001_spatial,single_spatial_001,spatial_relation,The subject object for object_1 should be inside the subject object for object_2.,rubber band,food container,small_items,containers,inside,inside,,,,,,,,,,,
single_spatial_002_identity_object_1,single_spatial_002,object_identity,The object in object_1 should be identifiable as a rubber band.,rubber band,,small_items,,,,rubber band,small_items,,,,,,,,object_1,
single_spatial_002_identity_object_2,single_spatial_002,object_identity,The object in object_2 should be identifiable as a food container.,,food container,,containers,,,food container,containers,,,,,,,,object_2,
single_spatial_002_spatial,single_spatial_002,spatial_relation,The subject object for object_1 should be inside the subject object for object_2.,rubber band,food container,small_items,containers,inside,inside,,,,,,,,,,,
single_spatial_003_identity_object_1,single_spatial_003,object_identity,The object in object_1 should be identifiable as a bottle cap.,bottle cap,,small_items,,,,bottle cap,small_items,,,,,,,,object_1,
single_spatial_003_identity_object_2,single_spatial_003,object_identity,The object in object_2 should be identifiable as a serving bowl.,,serving bowl,,containers,,,serving bowl,containers,,,,,,,,object_2,
single_spatial_003_spatial,single_spatial_003,spatial_relation,The subject object for object_1 should be inside the subject object for object_2.,bottle cap,serving bowl,small_items,containers,inside,inside,,,,,,,,,,,
single_spatial_004_identity_object_1,single_spatial_004,object_identity,The object in object_1 should be identifiable as a die.,die,,small_items,,,,die,small_items,,,,,,,,object_1,
single_spatial_004_identity_object_2,single_spatial_004,object_identity,The object in object_2 should be identifiable as a tray.,,tray,,containers,,,tray,containers,,,,,,,,object_2,
single_spatial_004_spatial,single_spatial_004,spatial_relation,The subject object for object_1 should be inside the subject object for object_2.,die,tray,small_items,containers,inside,inside,,,,,,,,,,,
single_spatial_005_identity_object_1,single_spatial_005,object_identity,The object in object_1 should be identifiable as a cutting board.,cutting board,,surfaces,,,,cutting board,surfaces,,,,,,,,object_1,
single_spatial_005_identity_object_2,single_spatial_005,object_identity,The object in object_2 should be identifiable as a food container.,,food container,,containers,,,food container,containers,,,,,,,,object_2,
single_spatial_005_spatial,single_spatial_005,spatial_relation,The subject object for object_1 should be to the left of the subject object for object_2.,cutting board,food container,surfaces,containers,left_of,to the left of,,,,,,,,,,,
single_spatial_006_identity_object_1,single_spatial_006,object_identity,The object in object_1 should be identifiable as a safety pin.,safety pin,,small_items,,,,safety pin,small_items,,,,,,,,object_1,
single_spatial_006_identity_object_2,single_spatial_006,object_identity,The object in object_2 should be identifiable as a plate.,,plate,,surfaces,,,plate,surfaces,,,,,,,,object_2,
single_spatial_006_spatial,single_spatial_006,spatial_relation,The subject object for object_1 should be to the left of the subject object for object_2.,safety pin,plate,small_items,surfaces,left_of,to the left of,,,,,,,,,,,
single_spatial_007_identity_object_1,single_spatial_007,object_identity,The object in object_1 should be identifiable as a serving bowl.,serving bowl,,containers,,,,serving bowl,containers,,,,,,,,object_1,
single_spatial_007_identity_object_2,single_spatial_007,object_identity,The object in object_2 should be identifiable as a napkin.,,napkin,,surfaces,,,napkin,surfaces,,,,,,,,object_2,
single_spatial_007_spatial,single_spatial_007,spatial_relation,The subject object for object_1 should be to the left of the subject object for object_2.,serving bowl,napkin,containers,surfaces,left_of,to the left of,,,,,,,,,,,
single_spatial_008_identity_object_1,single_spatial_008,object_identity,The object in object_1 should be identifiable as a thumbtack.,thumbtack,,small_items,,,,thumbtack,small_items,,,,,,,,object_1,
single_spatial_008_identity_object_2,single_spatial_008,object_identity,The object in object_2 should be identifiable as a plate.,,plate,,surfaces,,,plate,surfaces,,,,,,,,object_2,
single_spatial_008_spatial,single_spatial_008,spatial_relation,The subject object for object_1 should be to the left of the subject object for object_2.,thumbtack,plate,small_items,surfaces,left_of,to the left of,,,,,,,,,,,
single_spatial_009_identity_object_1,single_spatial_009,object_identity,The object in object_1 should be identifiable as a flat washer.,flat washer,,small_items,,,,flat washer,small_items,,,,,,,,object_1,
single_spatial_009_identity_object_2,single_spatial_009,object_identity,The object in object_2 should be identifiable as a serving bowl.,,serving bowl,,containers,,,serving bowl,containers,,,,,,,,object_2,
single_spatial_009_spatial,single_spatial_009,spatial_relation,The subject object for object_1 should be on top of the subject object for object_2.,flat washer,serving bowl,small_items,containers,on_top_of,on top of,,,,,,,,,,,
single_spatial_010_identity_object_1,single_spatial_010,object_identity,The object in object_1 should be identifiable as a marble.,marble,,small_items,,,,marble,small_items,,,,,,,,object_1,
single_spatial_010_identity_object_2,single_spatial_010,object_identity,The object in object_2 should be identifiable as a napkin.,,napkin,,surfaces,,,napkin,surfaces,,,,,,,,object_2,
single_spatial_010_spatial,single_spatial_010,spatial_relation,The subject object for object_1 should be on top of the subject object for object_2.,marble,napkin,small_items,surfaces,on_top_of,on top of,,,,,,,,,,,
single_spatial_011_identity_object_1,single_spatial_011,object_identity,The object in object_1 should be identifiable as a paper clip.,paper clip,,small_items,,,,paper clip,small_items,,,,,,,,object_1,
